"lfdnr";"lfdnr2";"Finanzposition";"Bezeichnung";"EinAus";"Teilabschnitt";"RQ";"FG";"SN";"AOB";"AnfZahlungsrueckstand";"LaufendesSoll";"GesamtSoll";"Ist";"SchliesslicheRueckstaende";"Voranschlag";"NachtragsVoranschlage";"GesamtVoranschlag";"UnterschiedLFDSollGesamtVAGuenstiger";"UnterschiedLFDSollGesamtVAUnguenstiger";"zahl";"pol1";"pol2";"pol3";"pol4";"pol5";"eco1";"eco2";"eco3";"eco4";"eco5";"eco6";"polAgg3";"ecoAgg3";"polAgg5";"ecoAgg6";"year"
"1";1;"1.00000.042200";"AMTSAUSSTATTUNG";"AUSGABE";0;41;3;"D";"MDPA";"        788.74";"      13374.14";"      14162.88";"      13223.89";"        938.99";"      14000.00";"          0.00";"      14000.00";"        625.86";"          0.00";"1";"0";"0";"0";"0";"0";"0";"4";"2";"2";"0";"0";"000";"042";"00000";"042200";"2011"
"2";2;"1.00000.042990";"AMTSAUSSTATTUNG";"AUSGABE";0;41;3;"D";"MDIM";"        984.23";"          0.00";"        984.23";"        984.23";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"0";"0";"0";"0";"0";"4";"2";"9";"9";"0";"000";"042";"00000";"042990";"2011"
"3";3;"1.00000.043550";"BETRIEBSAUSSTATTUNG";"AUSGABE";0;41;3;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"0";"0";"0";"0";"0";"4";"3";"5";"5";"0";"000";"043";"00000";"043550";"2011"
"4";4;"1.00000.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"AUSGABE";0;65;8;"S";"SN21";"          0.00";"      15156.61";"      15156.61";"      15156.61";"          0.00";"      14800.00";"          0.00";"      14800.00";"          0.00";"        356.61";"1";"0";"0";"0";"0";"0";"3";"4";"6";"0";"0";"0";"000";"346";"00000";"346000";"2011"
"5";5;"1.00000.400030";"GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS";"AUSGABE";0;23;1;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1900.00";"          0.00";"       1900.00";"       1900.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"3";"0";"000";"400";"00000";"400030";"2011"
"6";6;"1.00000.400200";"GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS";"AUSGABE";0;23;1;"D";"MDPA";"       1763.74";"      13562.79";"      15326.53";"      12421.68";"       2904.85";"      14000.00";"          0.00";"      14000.00";"        437.21";"          0.00";"1";"0";"0";"0";"0";"0";"4";"0";"0";"2";"0";"0";"000";"400";"00000";"400200";"2011"
"7";7;"1.00000.400990";"GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS";"AUSGABE";0;23;3;"D";"MDIM";"        523.76";"          0.00";"        523.76";"        523.76";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"0";"0";"9";"9";"0";"000";"400";"00000";"400990";"2011"
"8";8;"1.00000.403000";"HANDELSWAREN POKALE, EHRENPREISE U.DGL.";"AUSGABE";0;23;9;"D";"STSR";"          0.00";"       6416.83";"       6416.83";"       6416.83";"          0.00";"       8300.00";"          0.00";"       8300.00";"       1883.17";"          0.00";"1";"0";"0";"0";"0";"0";"4";"0";"3";"0";"0";"0";"000";"403";"00000";"403000";"2011"
"9";9;"1.00000.420200";"PFLANZLICHE ROHSTOFFE";"AUSGABE";0;23;1;"D";"MDPA";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        500.00";"          0.00";"        500.00";"        500.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"2";"0";"2";"0";"0";"000";"420";"00000";"420200";"2011"
"10";10;"1.00000.425200";"SONSTIGE ROH- UND HILFSSTOFFE";"AUSGABE";0;23;1;"D";"MDPA";"        113.48";"          0.00";"        113.48";"        113.48";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"2";"5";"2";"0";"0";"000";"425";"00000";"425200";"2011"
"11";11;"1.00000.428200";"FERTIG BEZOGENE TEILE";"AUSGABE";0;23;1;"D";"MDPA";"        461.55";"          0.00";"        461.55";"        461.55";"          0.00";"       1500.00";"          0.00";"       1500.00";"       1500.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"2";"8";"2";"0";"0";"000";"428";"00000";"428200";"2011"
"12";12;"1.00000.428550";"FERTIG BEZOGENE TEILE";"AUSGABE";0;23;1;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"2";"8";"5";"5";"0";"000";"428";"00000";"428550";"2011"
"13";13;"1.00000.454200";"REINIGUNGSMITTEL";"AUSGABE";0;23;1;"D";"MDPA";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        400.00";"          0.00";"        400.00";"        400.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"5";"4";"2";"0";"0";"000";"454";"00000";"454200";"2011"
"14";14;"1.00000.454206";"REINIGUNGSMITTEL GBG-WERKSTÄTTEN";"AUSGABE";0;23;1;"D";"MDPA";"          0.00";"        351.41";"        351.41";"        223.84";"        127.57";"          0.00";"          0.00";"          0.00";"          0.00";"        351.41";"1";"0";"0";"0";"0";"0";"4";"5";"4";"2";"0";"6";"000";"454";"00000";"454206";"2011"
"15";15;"1.00000.456200";"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL";"AUSGABE";0;23;1;"D";"MDPA";"        176.46";"      12382.54";"      12559.00";"      11511.16";"       1047.84";"      10000.00";"          0.00";"      10000.00";"          0.00";"       2382.54";"1";"0";"0";"0";"0";"0";"4";"5";"6";"2";"0";"0";"000";"456";"00000";"456200";"2011"
"16";16;"1.00000.456990";"SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL";"AUSGABE";0;23;1;"D";"MDPA";"        513.64";"       1168.70";"       1682.34";"       1682.34";"          0.00";"      12000.00";"          0.00";"      12000.00";"      10831.30";"          0.00";"1";"0";"0";"0";"0";"0";"4";"5";"6";"9";"9";"0";"000";"456";"00000";"456990";"2011"
"17";17;"1.00000.457009";"DRUCKWERKE KOPIERSERVICE - MDPA";"AUSGABE";0;23;1;"D";"MDPA";"          0.00";"       2683.47";"       2683.47";"       2683.47";"          0.00";"      20000.00";"          0.00";"      20000.00";"      17316.53";"          0.00";"1";"0";"0";"0";"0";"0";"4";"5";"7";"0";"0";"9";"000";"457";"00000";"457009";"2011"
"18";18;"1.00000.457200";"DRUCKWERKE";"AUSGABE";0;23;1;"D";"MDPA";"         58.87";"      24411.24";"      24470.11";"      21062.66";"       3407.45";"      24000.00";"          0.00";"      24000.00";"          0.00";"        411.24";"1";"0";"0";"0";"0";"0";"4";"5";"7";"2";"0";"0";"000";"457";"00000";"457200";"2011"
"19";19;"1.00000.459006";"SONSTIGE VERBRAUCHSGÜTER GBG";"AUSGABE";0;23;1;"D";"MDPA";"          0.00";"         63.00";"         63.00";"          0.00";"         63.00";"          0.00";"          0.00";"          0.00";"          0.00";"         63.00";"1";"0";"0";"0";"0";"0";"4";"5";"9";"0";"0";"6";"000";"459";"00000";"459006";"2011"
"20";20;"1.00000.459200";"SONSTIGE VERBRAUCHSGÜTER";"AUSGABE";0;23;1;"D";"MDPA";"          0.00";"       1677.13";"       1677.13";"       1677.13";"          0.00";"        300.00";"          0.00";"        300.00";"          0.00";"       1377.13";"1";"0";"0";"0";"0";"0";"4";"5";"9";"2";"0";"0";"000";"459";"00000";"459200";"2011"
"21";21;"1.00000.459550";"SONSTIGE VERBRAUCHSGÜTER";"AUSGABE";0;23;1;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"5";"9";"5";"5";"0";"000";"459";"00000";"459550";"2011"
"22";22;"1.00000.459990";"SONSTIGE VERBRAUCHSGÜTER";"AUSGABE";0;23;1;"D";"MDPA";"        387.59";"          0.00";"        387.59";"        387.59";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"0";"0";"0";"0";"4";"5";"9";"9";"9";"0";"000";"459";"00000";"459990";"2011"
"23";23;"1.00000.500000";"GELDBEZÜGE DER BEAMTEN DER VERWALTUNG";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"     753774.13";"     753774.13";"     753774.13";"          0.00";"     662800.00";"          0.00";"     662800.00";"          0.00";"      90974.13";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"000";"500";"00000";"500000";"2011"
"24";24;"1.00000.500010";"GELDBEZÜGE DER BEAMTEN DER VERWALTUNG";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"     131382.00";"     131382.00";"     131382.00";"          0.00";"     145500.00";"          0.00";"     145500.00";"      14118.00";"          0.00";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"0";"000";"500";"00000";"500010";"2011"
"25";25;"1.00000.510000";"GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"    1585248.08";"    1585248.08";"    1585248.08";"          0.00";"    1436600.00";"          0.00";"    1436600.00";"          0.00";"     148648.08";"1";"0";"0";"0";"0";"0";"5";"1";"0";"0";"0";"0";"000";"510";"00000";"510000";"2011"
"26";26;"1.00000.510010";"GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"     319151.11";"     319151.11";"     319151.11";"          0.00";"     365700.00";"          0.00";"     365700.00";"      46548.89";"          0.00";"1";"0";"0";"0";"0";"0";"5";"1";"0";"0";"1";"0";"000";"510";"00000";"510010";"2011"
"27";27;"1.00000.522500";"GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ANGE";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"      38669.05";"      38669.05";"      38669.05";"          0.00";"       1800.00";"          0.00";"       1800.00";"          0.00";"      36869.05";"1";"0";"0";"0";"0";"0";"5";"2";"2";"5";"0";"0";"000";"522";"00000";"522500";"2011"
"28";28;"1.00000.560000";"REISEGEBÜHREN";"AUSGABE";0;20;0;"D";"MDPA";"          0.00";"       7629.58";"       7629.58";"       7629.58";"          0.00";"       1800.00";"          0.00";"       1800.00";"          0.00";"       5829.58";"1";"0";"0";"0";"0";"0";"5";"6";"0";"0";"0";"0";"000";"560";"00000";"560000";"2011"
"29";29;"1.00000.563000";"SONSTIGE AUFWANDSENTSCHÄDIGUNGEN";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"       1002.90";"       1002.90";"       1002.90";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1002.90";"1";"0";"0";"0";"0";"0";"5";"6";"3";"0";"0";"0";"000";"563";"00000";"563000";"2011"
"30";30;"1.00000.563100";"SONSTIGE AUFWANDSENTSCHÄDIGUNGEN";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"       1046.22";"       1046.22";"       1046.22";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1046.22";"1";"0";"0";"0";"0";"0";"5";"6";"3";"1";"0";"0";"000";"563";"00000";"563100";"2011"
"31";31;"1.00000.565000";"MEHRLEISTUNGSVERGÜTUNGEN";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"       4396.57";"       4396.57";"       4396.57";"          0.00";"       6300.00";"          0.00";"       6300.00";"       1903.43";"          0.00";"1";"0";"0";"0";"0";"0";"5";"6";"5";"0";"0";"0";"000";"565";"00000";"565000";"2011"
"32";32;"1.00000.565300";"MEHRLEISTUNGSVERGÜTUNGEN";"AUSGABE";0;20;0;"D";"MDPA";"          0.00";"      13018.95";"      13018.95";"      13018.95";"          0.00";"      10000.00";"          0.00";"      10000.00";"          0.00";"       3018.95";"1";"0";"0";"0";"0";"0";"5";"6";"5";"3";"0";"0";"000";"565";"00000";"565300";"2011"
"33";33;"1.00000.567000";"BELOHNUNGEN UND GELDAUSHILFEN";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        200.00";"          0.00";"        200.00";"        200.00";"          0.00";"1";"0";"0";"0";"0";"0";"5";"6";"7";"0";"0";"0";"000";"567";"00000";"567000";"2011"
"34";34;"1.00000.569000";"SONSTIGE NEBENGEBÜHREN";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"       3605.72";"       3605.72";"       3605.72";"          0.00";"       7900.00";"          0.00";"       7900.00";"       4294.28";"          0.00";"1";"0";"0";"0";"0";"0";"5";"6";"9";"0";"0";"0";"000";"569";"00000";"569000";"2011"
"35";35;"1.00000.580000";"DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"     120685.27";"     120685.27";"     120685.27";"          0.00";"     118400.00";"          0.00";"     118400.00";"          0.00";"       2285.27";"1";"0";"0";"0";"0";"0";"5";"8";"0";"0";"0";"0";"000";"580";"00000";"580000";"2011"
"36";36;"1.00000.580900";"DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"       1739.93";"       1739.93";"       1739.93";"          0.00";"        100.00";"          0.00";"        100.00";"          0.00";"       1639.93";"1";"0";"0";"0";"0";"0";"5";"8";"0";"9";"0";"0";"000";"580";"00000";"580900";"2011"
"37";37;"1.00000.581000";"SONSTIGE DGB ZUR SOZIALEN SICHERHEIT";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"     402323.48";"     402323.48";"     402323.48";"          0.00";"     315200.00";"          0.00";"     315200.00";"          0.00";"      87123.48";"1";"0";"0";"0";"0";"0";"5";"8";"1";"0";"0";"0";"000";"581";"00000";"581000";"2011"
"38";38;"1.00000.581500";"SONSTIGE DGB ZUR SOZIALEN SICHERHEIT";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"      43170.15";"      43170.15";"      43170.15";"          0.00";"      39200.00";"          0.00";"      39200.00";"          0.00";"       3970.15";"1";"0";"0";"0";"0";"0";"5";"8";"1";"5";"0";"0";"000";"581";"00000";"581500";"2011"
"39";39;"1.00000.581900";"SONSTIGE DGB ZUR SOZIALEN SICHERHEIT";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"       8200.18";"       8200.18";"       8200.18";"          0.00";"        400.00";"          0.00";"        400.00";"          0.00";"       7800.18";"1";"0";"0";"0";"0";"0";"5";"8";"1";"9";"0";"0";"000";"581";"00000";"581900";"2011"
"40";40;"1.00000.590000";"FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN)";"AUSGABE";0;20;0;"S";"MDPA";"          0.00";"       3648.00";"       3648.00";"       3648.00";"          0.00";"       4100.00";"          0.00";"       4100.00";"        452.00";"          0.00";"1";"0";"0";"0";"0";"0";"5";"9";"0";"0";"0";"0";"000";"590";"00000";"590000";"2011"
"41";41;"1.00000.600000";"STROM";"AUSGABE";0;24;1;"D";"0804";"       3540.30";"          0.00";"       3540.30";"       3540.30";"          0.00";"      19000.00";"          0.00";"      19000.00";"      19000.00";"          0.00";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"000";"600";"00000";"600000";"2011"
"42";42;"1.00000.600005";"STROM";"AUSGABE";0;24;1;"D";"0804";"          0.00";"      17002.29";"      17002.29";"          0.00";"      17002.29";"          0.00";"          0.00";"          0.00";"          0.00";"      17002.29";"1";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"5";"000";"600";"00000";"600005";"2011"
"43";43;"1.00000.602000";"WASSER";"AUSGABE";0;24;1;"D";"0804";"        509.43";"          0.00";"        509.43";"        509.43";"          0.00";"       1400.00";"          0.00";"       1400.00";"       1400.00";"          0.00";"1";"0";"0";"0";"0";"0";"6";"0";"2";"0";"0";"0";"000";"602";"00000";"602000";"2011"
"44";44;"1.00000.602005";"WASSER";"AUSGABE";0;24;1;"D";"0804";"          0.00";"       1656.99";"       1656.99";"          0.00";"       1656.99";"          0.00";"          0.00";"          0.00";"          0.00";"       1656.99";"1";"0";"0";"0";"0";"0";"6";"0";"2";"0";"0";"5";"000";"602";"00000";"602005";"2011"
"45";45;"1.00000.603000";"WÄRME";"AUSGABE";0;24;1;"D";"0804";"       2258.33";"          0.00";"       2258.33";"       2258.33";"          0.00";"      20900.00";"          0.00";"      20900.00";"      20900.00";"          0.00";"1";"0";"0";"0";"0";"0";"6";"0";"3";"0";"0";"0";"000";"603";"00000";"603000";"2011"
"46";46;"1.00000.603005";"WÄRME";"AUSGABE";0;24;1;"D";"0804";"          0.00";"      27735.20";"      27735.20";"          0.00";"      27735.20";"          0.00";"          0.00";"          0.00";"          0.00";"      27735.20";"1";"0";"0";"0";"0";"0";"6";"0";"3";"0";"0";"5";"000";"603";"00000";"603005";"2011"
"47";47;"1.00000.614000";"INSTANDH. VON GEBÄUDEN";"AUSGABE";0;24;3;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       5700.00";"          0.00";"       5700.00";"       5700.00";"          0.00";"1";"0";"0";"0";"0";"0";"6";"1";"4";"0";"0";"0";"000";"614";"00000";"614000";"2011"
"48";48;"1.00000.614005";"INSTANDH. VON GEBÄUDEN";"AUSGABE";0;24;3;"D";"0804";"          0.00";"      20330.30";"      20330.30";"          0.00";"      20330.30";"          0.00";"          0.00";"          0.00";"          0.00";"      20330.30";"1";"0";"0";"0";"0";"0";"6";"1";"4";"0";"0";"5";"000";"614";"00000";"614005";"2011"
"49";49;"1.00000.614006";"INSTANDH. VON GEBÄUDEN GBG-WERKSTÄTTEN";"AUSGABE";0;24;3;"D";"MDPA";"          0.00";"       1873.17";"       1873.17";"        365.17";"       1508.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1873.17";"1";"0";"0";"0";"0";"0";"6";"1";"4";"0";"0";"6";"000";"614";"00000";"614006";"2011"
"50";50;"1.00000.614025";"INSTANDH. VON GEBÄUDEN";"AUSGABE";0;24;3;"D";"0804";"          0.00";"          5.62";"          5.62";"          0.00";"          5.62";"          0.00";"          0.00";"          0.00";"          0.00";"          5.62";"1";"0";"0";"0";"0";"0";"6";"1";"4";"0";"2";"5";"000";"614";"00000";"614025";"2011"
"51";51;"1.00000.614200";"INSTANDH. VON GEBÄUDEN WB";"AUSGABE";0;24;1;"D";"MDPA";"          0.00";"        120.79";"        120.79";"        120.79";"          0.00";"       5000.00";"          0.00";"       5000.00";"       4879.21";"          0.00";"1";"0";"0";"0";"0";"0";"6";"1";"4";"2";"0";"0";"000";"614";"00000";"614200";"2011"
"52";52;"1.00000.614500";"INSTANDH. VON GEBÄUDEN";"AUSGABE";0;24;3;"D";"0804";"       1778.25";"          0.00";"       1778.25";"       1778.25";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"0";"0";"0";"0";"6";"1";"4";"5";"0";"0";"000";"614";"00000";"614500";"2011"
"53";53;"1.00000.618030";"INSTANDH. VON SONSTIGEN ANLAGEN";"AUSGABE";0;24;2;"D";"0804";"         82.57";"          0.00";"         82.57";"         82.57";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"0";"0";"0";"0";"6";"1";"8";"0";"3";"0";"000";"618";"00000";"618030";"2011"
"54";54;"1.00000.618200";"INSTANDH. VON SONSTIGEN ANLAGEN";"AUSGABE";0;24;3;"D";"MDPA";"          0.00";"       5460.90";"       5460.90";"       5460.90";"          0.00";"       1000.00";"          0.00";"       1000.00";"          0.00";"       4460.90";"1";"0";"0";"0";"0";"0";"6";"1";"8";"2";"0";"0";"000";"618";"00000";"618200";"2011"
"55";55;"1.00000.620000";"PERSONEN- UND GÜTERTRANSPORTE";"AUSGABE";0;24;9;"D";"MDPA";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        500.00";"          0.00";"        500.00";"        500.00";"          0.00";"1";"0";"0";"0";"0";"0";"6";"2";"0";"0";"0";"0";"000";"620";"00000";"620000";"2011"
"56";56;"1.00000.620200";"PERSONEN- UND GÜTERTRANSPORTE TAXIBENÜTZUNG";"AUSGABE";0;24;9;"D";"MDPA";"        716.65";"       2746.96";"       3463.61";"       3075.85";"        387.76";"       6000.00";"          0.00";"       6000.00";"       3253.04";"          0.00";"1";"0";"0";"0";"0";"0";"6";"2";"0";"2";"0";"0";"000";"620";"00000";"620200";"2011"
"57";57;"1.00000.630000";"POSTDIENSTE";"AUSGABE";0;24;1;"D";"MDPA";"          0.00";"       7700.32";"       7700.32";"       7700.32";"          0.00";"      10000.00";"          0.00";"      10000.00";"       2299.68";"          0.00";"1";"0";"0";"0";"0";"0";"6";"3";"0";"0";"0";"0";"000";"630";"00000";"630000";"2011"
"58";58;"1.00000.631000";"TELEKOMMUNIKATIONSDIENSTE";"AUSGABE";0;24;1;"D";"MDPA";"        297.75";"          0.00";"        297.75";"        297.75";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"0";"0";"0";"0";"6";"3";"1";"0";"0";"0";"000";"631";"00000";"631000";"2011"
"59";59;"1.00000.631200";"TELEKOMMUNIKATIONSDIENSTE";"AUSGABE";0;24;1;"D";"MDPA";"       4424.49";"          0.00";"       4424.49";"       4424.49";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"0";"0";"0";"0";"6";"3";"1";"2";"0";"0";"000";"631";"00000";"631200";"2011"
"60";60;"1.00000.631300";"TELEKOMMUNIKATIONSDIENSTE";"AUSGABE";0;24;1;"D";"MDPA";"        180.97";"          0.00";"        180.97";"        180.97";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"1";"0";"0";"0";"0";"0";"6";"3";"1";"3";"0";"0";"000";"631";"00000";"631300";"2011"
"61";61;"1.00000.650000";"ZINSEN FÜR FINANZSCHULDEN - INLAND";"AUSGABE";0;25;8;"S";"SN21";"          0.00";"       3916.48";"       3916.48";"       3916.48";"          0.00";"       4400.00";"          0.00";"       4400.00";"        483.52";"          0.00";"1";"0";"0";"0";"0";"0";"6";"5";"0";"0";"0";"0";"000";"650";"00000";"650000";"2011"
"62";62;"1.00000.670000";"VERSICHERUNGEN";"AUSGABE";0;24;8;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       7600.00";"          0.00";"       7600.00";"       7600.00";"          0.00";"1";"0";"0";"0";"0";"0";"6";"7";"0";"0";"0";"0";"000";"670";"00000";"670000";"2011"
"63";63;"1.00000.670005";"VERSICHERUNGEN";"AUSGABE";0;24;8;"D";"0804";"          0.00";"       2934.04";"       2934.04";"          0.00";"       2934.04";"          0.00";"          0.00";"          0.00";"          0.00";"       2934.04";"1";"0";"0";"0";"0";"0";"6";"7";"0";"0";"0";"5";"000";"670";"00000";"670005";"2011"
"64";64;"1.00000.700000";"MIETZINSE";"AUSGABE";0;24;8;"D";"0804";"          0.00";"       4129.35";"       4129.35";"       4129.35";"          0.00";"      17100.00";"          0.00";"      17100.00";"      12970.65";"          0.00";"1";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"000";"700";"00000";"700000";"2011"
"65";65;"1.00000.700005";"MIETZINSE";"AUSGABE";0;24;8;"D";"0804";"          0.00";"      16477.92";"      16477.92";"          0.00";"      16477.92";"          0.00";"          0.00";"          0.00";"          0.00";"      16477.92";"1";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"5";"000";"700";"00000";"700005";"2011"
"66";66;"1.00000.700100";"MIETZINSE BEZIRKS- UND STADTTEILVERSAMMLUNGEN";"AUSGABE";0;24;9;"D";"MDPA";"          0.00";"       1172.34";"       1172.34";"        782.34";"        390.00";"       2000.00";"          0.00";"       2000.00";"        827.66";"          0.00";"1";"0";"0";"0";"0";"0";"7";"0";"0";"1";"0";"0";"000";"700";"00000";"700100";"2011"
"67";67;"1.00000.700107";"MIETZINSE ITG";"AUSGABE";0;24;9;"D";"MDPA";"          0.00";"        356.40";"        356.40";"        356.40";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"        356.40";"1";"0";"0";"0";"0";"0";"7";"0";"0";"1";"0";"7";"000";"700";"00000";"700107";"2011"
"68";68;"1.00000.700200";"MIETZINSE LEASINGRATEN";"AUSGABE";0;24;8;"D";"0800";"        200.93";"     147202.71";"     147403.64";"     147194.83";"        208.81";"     147300.00";"          0.00";"     147300.00";"         97.29";"          0.00";"1";"0";"0";"0";"0";"0";"7";"0";"0";"2";"0";"0";"000";"700";"00000";"700200";"2011"
"69";69;"1.00000.700700";"MIETZINSE KÜNDIGUNGSVERZICHT";"AUSGABE";0;24;8;"D";"0804";"          0.00";"       1798.32";"       1798.32";"       1798.32";"          0.00";"       8800.00";"          0.00";"       8800.00";"       7001.68";"          0.00";"1";"0";"0";"0";"0";"0";"7";"0";"0";"7";"0";"0";"000";"700";"00000";"700700";"2011"
"70";70;"1.00000.700800";"MIETZINSE CITY-BACKBONE";"AUSGABE";0;24;8;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"       1000.00";"          0.00";"       1000.00";"       1000.00";"          0.00";"1";"0";"0";"0";"0";"0";"7";"0";"0";"8";"0";"0";"000";"700";"00000";"700800";"2011"
"71";71;"1.00000.710000";"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.";"AUSGABE";0;24;8;"D";"0804";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"      19000.00";"          0.00";"      19000.00";"      19000.00";"          0.00";"1";"0";"0";"0";"0";"0";"7";"1";"0";"0";"0";"0";"000";"710";"00000";"710000";"2011"
"72";72;"1.00000.710005";"ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.";"AUSGABE";0;24;8;"D";"0804";"          0.00";"      10245.92";"      10245.92";"          0.00";"      10245.92";"          0.00";"          0.00";"          0.00";"          0.00";"      10245.92";"1";"0";"0";"0";"0";"0";"7";"1";"0";"0";"0";"5";"000";"710";"00000";"710005";"2011"
"73";73;"1.00000.721000";"BEZÜGE DER GEWÄHLTEN ORGANE STADTSENATSMITGLIEDER";"AUSGABE";0;22;8;"D";"MDPA";"          0.00";"    1306123.69";"    1306123.69";"    1306123.69";"          0.00";"    1304000.00";"          0.00";"    1304000.00";"          0.00";"       2123.69";"1";"0";"0";"0";"0";"0";"7";"2";"1";"0";"0";"0";"000";"721";"00000";"721000";"2011"
"74";74;"1.00000.721100";"BEZÜGE DER GEWÄHLTEN ORGANE GEMEINDERÄTE";"AUSGABE";0;22;8;"D";"MDPA";"          0.00";"    1506250.21";"    1506250.21";"    1506250.21";"          0.00";"    1524000.00";"          0.00";"    1524000.00";"      17749.79";"          0.00";"1";"0";"0";"0";"0";"0";"7";"2";"1";"1";"0";"0";"000";"721";"00000";"721100";"2011"
"75";75;"1.00000.721200";"BEZÜGE DER GEWÄHLTEN ORGANE BEZIRKSVORSTEHER";"AUSGABE";0;22;8;"D";"MDPA";"          0.00";"     576480.96";"     576480.96";"     576480.96";"          0.00";"     583000.00";"          0.00";"     583000.00";"       6519.04";"          0.00";"1";"0";"0";"0";"0";"0";"7";"2";"1";"2";"0";"0";"000";"721";"00000";"721200";"2011"
