"lfdnr";"lfdnr2";"Finanzposition";"Bezeichnung";"EinAus";"Teilabschnitt";"RQ";"FG";"SN";"AOB";"AnfZahlungsrueckstand";"LaufendesSoll";"GesamtSoll";"Ist";"SchliesslicheRueckstaende";"Voranschlag";"NachtragsVoranschlage";"GesamtVoranschlag";"UnterschiedLFDSollGesamtVAGuenstiger";"UnterschiedLFDSollGesamtVAUnguenstiger";"zahl";"pol1";"pol2";"pol3";"pol4";"pol5";"eco1";"eco2";"eco3";"eco4";"eco5";"eco6";"polAgg3";"ecoAgg3";"polAgg5";"ecoAgg6";"year"
"9333";9333;"6.61100.298102";"RÜCKLAGEN ENTNAHME AUSGLEICHSRÜCKLAGE";"EINNAHME";61100;51;9;"D";"0800";"     518280.41";"          0.00";"     518280.41";"     518280.41";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"6";"1";"1";"0";"0";"2";"9";"8";"1";"0";"2";"611";"298";"61100";"298102";"2011"
"9334";9334;"6.61100.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"EINNAHME";61100;55;9;"D";"0800";"          0.00";"     346791.01";"     346791.01";"     346791.01";"          0.00";"          0.00";"          0.00";"          0.00";"     346791.01-";"          0.00";"6";"6";"1";"1";"0";"0";"3";"4";"6";"0";"0";"0";"611";"346";"61100";"346000";"2011"
"9335";9335;"6.61200.043000";"BETRIEBSAUSSTATTUNG MARKTSTÄNDE HAUPTPLATZ";"EINNAHME";61200;31;8;"D";"BD00";"     144794.55";"          0.00";"     144794.55";"      10356.57";"     134437.98";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"6";"1";"2";"0";"0";"0";"4";"3";"0";"0";"0";"612";"043";"61200";"043000";"2011"
"9336";9336;"6.61200.298402";"RÜCKLAGEN ENTNAHME GRUNDSTÜCKSRÜCKLAGE";"EINNAHME";61200;51;9;"D";"0800";"     368748.51";"          0.00";"     368748.51";"     368748.51";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"6";"1";"2";"0";"0";"2";"9";"8";"4";"0";"2";"612";"298";"61200";"298402";"2011"
"9337";9337;"6.61200.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"EINNAHME";61200;55;9;"D";"0800";"          0.00";"    9303500.31";"    9303500.31";"    9303500.31";"          0.00";"   10220600.00";"   10557400.00";"   20778000.00";"          0.00";"   11474499.69-";"6";"6";"1";"2";"0";"0";"3";"4";"6";"0";"0";"0";"612";"346";"61200";"346000";"2011"
"9338";9338;"6.61200.828060";"RÜCKERSÄTZE VON AUSGABEN ÖV-MASSNAHMEN";"EINNAHME";61200;18;1;"D";"1008";"          0.00";"      11814.88";"      11814.88";"      11814.88";"          0.00";"          0.00";"          0.00";"          0.00";"      11814.88-";"          0.00";"6";"6";"1";"2";"0";"0";"8";"2";"8";"0";"6";"0";"612";"828";"61200";"828060";"2011"
"9339";9339;"6.61200.889000";"KAP.TRANSFERZAHLUNGEN VON DER EUROPÄISCHEN UNION";"EINNAHME";61200;33;1;"D";"BD00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"     209000.00";"     209000.00";"          0.00";"     209000.00-";"6";"6";"1";"2";"0";"0";"8";"8";"9";"0";"0";"0";"612";"889";"61200";"889000";"2011"
"9340";9340;"6.61200.889200";"KAP.TRANSFERZAHLUNGEN VON DER EUROPÄISCHEN UNION URBAN PLUS - REGIONALBUSSYSTEM";"EINNAHME";61200;33;1;"D";"1008";"     118287.82";"          0.00";"     118287.82";"     115687.82";"       2600.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"6";"1";"2";"0";"0";"8";"8";"9";"2";"0";"0";"612";"889";"61200";"889200";"2011"
"9341";9341;"6.63900.298402";"RÜCKLAGEN ENTNAHME GRUNDSTÜCKSRÜCKLAGE";"EINNAHME";63900;51;9;"D";"0800";"    2467191.67";"          0.00";"    2467191.67";"    2467191.67";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"          0.00";"6";"6";"3";"9";"0";"0";"2";"9";"8";"4";"0";"2";"639";"298";"63900";"298402";"2011"
"9342";9342;"6.63900.346000";"INVESTITIONSDARLEHEN VON KREDITINSTITUTEN";"EINNAHME";63900;55;9;"D";"0800";"          0.00";"    1583905.08";"    1583905.08";"    1583905.08";"          0.00";"    3270000.00";"    1473000.00";"    4743000.00";"          0.00";"    3159094.92-";"6";"6";"3";"9";"0";"0";"3";"4";"6";"0";"0";"0";"639";"346";"63900";"346000";"2011"
